operation,runtime
SET key_100,0.0010004043579101562
GET key_100,0.0002276897430419922
SET key_101,0.0005035400390625
GET key_101,0.0
SET key_102,0.0
GET key_102,0.0
SET key_103,0.0
GET key_103,0.0
SET key_104,0.0
GET key_104,0.0009996891021728516
SET key_105,0.0
GET key_105,0.0
SET key_106,0.0010006427764892578
GET key_106,0.0
SET key_107,0.0
GET key_107,0.0009992122650146484
SET key_108,0.0
GET key_108,0.0
SET key_109,0.0010004043579101562
GET key_109,0.0
SET key_110,0.0
GET key_110,0.0010006427764892578
SET key_111,0.0
GET key_111,0.0
SET key_112,0.0009999275207519531
GET key_112,0.0
SET key_113,0.0010023117065429688
GET key_113,0.0
SET key_114,0.0
GET key_114,0.000997304916381836
SET key_115,0.0
GET key_115,0.0
SET key_116,0.0010001659393310547
GET key_116,0.0
SET key_117,0.0
GET key_117,0.0009996891021728516
SET key_118,0.0
GET key_118,0.0
SET key_119,0.0010027885437011719
GET key_119,0.0
SET key_120,0.0
GET key_120,0.0019974708557128906
SET key_121,0.0
GET key_121,0.0
SET key_122,0.0
GET key_122,0.0009996891021728516
SET key_123,0.0
GET key_123,0.0009996891021728516
SET key_124,0.0
GET key_124,0.0
SET key_125,0.0010004043579101562
GET key_125,0.0
SET key_126,0.0
GET key_126,0.0009999275207519531
SET key_127,0.0
GET key_127,0.0
SET key_128,0.0010001659393310547
GET key_128,0.0
SET key_129,0.0
GET key_129,0.00099945068359375
SET key_130,0.0
GET key_130,0.0
SET key_131,0.0009999275207519531
GET key_131,0.0
SET key_132,0.0
GET key_132,0.0010080337524414062
SET key_133,0.0
GET key_133,0.0
SET key_134,0.0009922981262207031
GET key_134,0.0
SET key_135,0.0010080337524414062
GET key_135,0.0
SET key_136,0.0
GET key_136,0.0009920597076416016
SET key_137,0.0
GET key_137,0.0
SET key_138,0.0010075569152832031
GET key_138,0.0
SET key_139,0.0
GET key_139,0.0009922981262207031
SET key_140,0.0
GET key_140,0.0
SET key_141,0.0
GET key_141,0.0010073184967041016
