operation,runtime
INSERT key_116,0.0005159378051757812
GET key_116,0.001068115234375
INSERT key_117,0.0005125999450683594
GET key_117,0.0005261898040771484
INSERT key_118,0.0010485649108886719
GET key_118,0.0005218982696533203
INSERT key_119,0.0006465911865234375
GET key_119,0.0010166168212890625
INSERT key_120,0.0005130767822265625
GET key_120,0.0005092620849609375
INSERT key_121,0.0005171298980712891
GET key_121,0.0005228519439697266
INSERT key_122,0.0005257129669189453
GET key_122,0.001051187515258789
INSERT key_123,0.0005171298980712891
GET key_123,0.0005197525024414062
INSERT key_124,0.0005183219909667969
GET key_124,0.0008745193481445312
INSERT key_125,0.0006723403930664062
GET key_125,0.001027822494506836
INSERT key_126,0.001069784164428711
GET key_126,0.0005090236663818359
INSERT key_127,0.0005290508270263672
GET key_127,0.0005304813385009766
INSERT key_128,0.0010311603546142578
GET key_128,0.0005371570587158203
INSERT key_129,0.0005140304565429688
GET key_129,0.00054168701171875
INSERT key_130,0.0010654926300048828
GET key_130,0.0006957054138183594
INSERT key_131,0.0006122589111328125
GET key_131,0.0007460117340087891
INSERT key_132,0.0005099773406982422
GET key_132,0.0005154609680175781
INSERT key_133,0.0005135536193847656
GET key_133,0.0005071163177490234
INSERT key_134,0.0005280971527099609
GET key_134,0.0005147457122802734
INSERT key_135,0.0013942718505859375
GET key_135,0.0005915164947509766
INSERT key_136,0.0005035400390625
GET key_136,0.0005164146423339844
INSERT key_137,0.0010433197021484375
GET key_137,0.0010368824005126953
INSERT key_138,0.0005173683166503906
GET key_138,0.0005240440368652344
INSERT key_139,0.0005202293395996094
GET key_139,0.000514984130859375
INSERT key_140,0.0005366802215576172
GET key_140,0.000514984130859375
INSERT key_141,0.0005340576171875
GET key_141,0.0015442371368408203
INSERT key_142,0.0005438327789306641
GET key_142,0.0005178451538085938
INSERT key_143,0.0010492801666259766
GET key_143,0.0015711784362792969
INSERT key_144,0.001031637191772461
GET key_144,0.0005128383636474609
INSERT key_145,0.0005216598510742188
GET key_145,0.0005409717559814453
INSERT key_146,0.0011773109436035156
GET key_146,0.000514984130859375
INSERT key_147,0.0005176067352294922
GET key_147,0.0010449886322021484
